Dataset_Task_ID,Name,Ref,N,d,C,perc_cat,Subset,Metric,Setting,Model,Score,BestScore,improvability
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Tuned,ExtraTrees,0.651,0.671,2.0000000000000018
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Tuned + Ens.,ExtraTrees,0.653,0.673,2.0000000000000018
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Default,ExtraTrees,0.737,0.744,0.7000000000000006
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Tuned,ExtraTrees,0.741,0.744,0.30000000000000027
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Tuned + Ens.,ExtraTrees,0.74,0.744,0.40000000000000036
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Default,ExtraTrees,0.769,0.822,5.299999999999994
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Tuned,ExtraTrees,0.816,0.82,0.40000000000000036
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Tuned + Ens.,ExtraTrees,0.815,0.819,0.40000000000000036
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Default,ExtraTrees,8.179,7.379,9.781146839466937
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Tuned,ExtraTrees,7.753,7.367,4.978717915645558
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Tuned + Ens.,ExtraTrees,7.749,7.362,4.994192799070842
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Default,ExtraTrees,0.84,0.866,2.6000000000000023
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Tuned,ExtraTrees,0.857,0.867,1.0000000000000009
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Tuned + Ens.,ExtraTrees,0.857,0.867,1.0000000000000009
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Default,ExtraTrees,0.784,0.805,2.100000000000002
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Tuned,ExtraTrees,0.8,0.804,0.40000000000000036
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Tuned + Ens.,ExtraTrees,0.801,0.805,0.40000000000000036
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Default,ExtraTrees,0.695,0.751,5.600000000000005
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Tuned,ExtraTrees,0.713,0.745,3.200000000000003
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Tuned + Ens.,ExtraTrees,0.718,0.748,3.0000000000000027
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Default,ExtraTrees,0.521,0.432,17.082533589251444
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Tuned,ExtraTrees,0.482,0.431,10.580912863070537
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Tuned + Ens.,ExtraTrees,0.47,0.43,8.510638297872337
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Default,ExtraTrees,0.884,0.915,3.1000000000000028
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Tuned,ExtraTrees,0.886,0.916,3.0000000000000027
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Tuned + Ens.,ExtraTrees,0.888,0.919,3.1000000000000028
46969 (363689),NATICUSdroid,[92],7491,87,2.0,100.0,✓| ✓,AUC,Default,ExtraTrees,0.977,0.987,1.0000000000000009
46969 (363689),NATICUSdroid,[92],7491,87,2.0,100.0,✓| ✓,AUC,Tuned,ExtraTrees,0.982,0.986,0.40000000000000036
