GEOID,NAME,variable,estimate,moe
12035,"Flagler County, Florida",population,107139,NA
12037,"Franklin County, Florida",population,11736,NA
12039,"Gadsden County, Florida",population,46017,NA
12041,"Gilchrist County, Florida",population,17615,NA
12043,"Glades County, Florida",population,13363,NA
12045,"Gulf County, Florida",population,16055,NA
12047,"Hamilton County, Florida",population,14269,NA
12049,"Hardee County, Florida",population,27228,NA
12051,"Hendry County, Florida",population,40127,NA
12053,"Hernando County, Florida",population,182696,NA
12055,"Highlands County, Florida",population,102101,NA
12057,"Hillsborough County, Florida",population,1378883,NA
12059,"Holmes County, Florida",population,19430,NA
12061,"Indian River County, Florida",population,150984,NA
12063,"Jackson County, Florida",population,48472,NA
12065,"Jefferson County, Florida",population,14105,NA
12067,"Lafayette County, Florida",population,8744,NA
12069,"Lake County, Florida",population,335362,NA
12071,"Lee County, Florida",population,718679,NA
12073,"Leon County, Florida",population,288102,NA
12075,"Levy County, Florida",population,39961,NA
12077,"Liberty County, Florida",population,8365,NA
12079,"Madison County, Florida",population,18474,NA
12081,"Manatee County, Florida",population,373853,NA
12083,"Marion County, Florida",population,348371,NA
12085,"Martin County, Florida",population,157581,NA
12086,"Miami-Dade County, Florida",population,2715516,NA
12087,"Monroe County, Florida",population,76325,NA
12089,"Nassau County, Florida",population,80578,NA
12091,"Okaloosa County, Florida",population,200737,NA
12093,"Okeechobee County, Florida",population,40572,NA
12095,"Orange County, Florida",population,1321194,NA
12097,"Osceola County, Florida",population,338619,NA
12099,"Palm Beach County, Florida",population,1446277,NA
12101,"Pasco County, Florida",population,510593,NA
12103,"Pinellas County, Florida",population,957875,NA
12105,"Polk County, Florida",population,668671,NA
12107,"Putnam County, Florida",population,72766,NA
12109,"St. Johns County, Florida",population,235503,NA
12111,"St. Lucie County, Florida",population,305591,NA
12113,"Santa Rosa County, Florida",population,170442,NA
12115,"Sarasota County, Florida",population,412144,NA
12117,"Seminole County, Florida",population,455086,NA
12119,"Sumter County, Florida",population,120999,NA
12121,"Suwannee County, Florida",population,43924,NA
12123,"Taylor County, Florida",population,22098,NA
12125,"Union County, Florida",population,15239,NA
12127,"Volusia County, Florida",population,527634,NA
12129,"Wakulla County, Florida",population,31877,NA
12131,"Walton County, Florida",population,65858,NA
12133,"Washington County, Florida",population,24566,NA
13001,"Appling County, Georgia",population,18454,NA
13003,"Atkinson County, Georgia",population,8265,NA
13005,"Bacon County, Georgia",population,11228,NA
13007,"Baker County, Georgia",population,3189,NA
13009,"Baldwin County, Georgia",population,45286,NA
13011,"Banks County, Georgia",population,18510,NA
13013,"Barrow County, Georgia",population,76887,NA
13015,"Bartow County, Georgia",population,103620,NA
13017,"Ben Hill County, Georgia",population,17154,NA
13019,"Berrien County, Georgia",population,19025,NA
13021,"Bibb County, Georgia",population,153490,NA
13023,"Bleckley County, Georgia",population,12775,NA
13025,"Brantley County, Georgia",population,18561,NA
13027,"Brooks County, Georgia",population,15622,NA
13029,"Bryan County, Georgia",population,35885,NA
13031,"Bulloch County, Georgia",population,74782,NA
13033,"Burke County, Georgia",population,22550,NA
13035,"Butts County, Georgia",population,23750,NA
13037,"Calhoun County, Georgia",population,6428,NA
13039,"Camden County, Georgia",population,52714,NA
13043,"Candler County, Georgia",population,10827,NA
13045,"Carroll County, Georgia",population,116022,NA
13047,"Catoosa County, Georgia",population,66299,NA
13049,"Charlton County, Georgia",population,12983,NA
13051,"Chatham County, Georgia",population,287049,NA
13053,"Chattahoochee County, Georgia",population,10767,NA
13055,"Chattooga County, Georgia",population,24817,NA
13057,"Cherokee County, Georgia",population,241910,NA
13059,"Clarke County, Georgia",population,124602,NA
13061,"Clay County, Georgia",population,3001,NA
13063,"Clayton County, Georgia",population,278666,NA
13065,"Clinch County, Georgia",population,6743,NA
13067,"Cobb County, Georgia",population,745057,NA
13069,"Coffee County, Georgia",population,42961,NA
